ID,Name,Reinforce Type ID,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack,Str Scaling,Dex Scaling,Int Scaling,Fai Scaling,Arc Scaling,Physical Guard,Magic Guard,Fire Guard,Lightning Guard,Holy Guard,Guard Boost,Resistance Guard,Upgrade Price,Effect 1,Effect 1 Type,Effect 2,Effect 2 Type,Attack Element Correct ID,Infusable,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Weapon Type,Physical Damage Type,Caption,Weight,Attack Power (Critical),2H Str Bonus,Base Poise Attack,Sort Group Type,Sort Group ID,Sort ID
1000000,Dagger,0,74,0,0,0,0,30,35,65,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000000
1000100,Heavy Dagger,100,71,0,0,0,0,30,55,0,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000001
1000200,Keen Dagger,5000,71,0,0,0,0,30,20,70,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000002
1000300,Quality Dagger,300,71,0,0,0,0,30,63,63,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000003
1000400,Fire Dagger,400,71,0,71,0,0,30,47,10,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10005,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000005
1000500,Flame Art Dagger,500,71,0,71,0,0,30,10,19,0,55,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000006
1000600,Lightning Dagger,600,71,0,0,71,0,30,10,47,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000007
1000700,Sacred Dagger,700,71,0,0,0,71,30,10,19,0,55,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000008
1000800,Magic Dagger,800,71,71,0,0,0,30,10,19,56,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000004
1000900,Cold Dagger,900,71,60,0,0,0,30,31,58,52,0,0,35,20,20,20,20,15,10,130,-1,None,107500,Frost,10000,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000011
1001000,Poison Dagger,1000,71,0,0,0,0,30,33,61,0,0,30,35,20,20,20,20,15,10,130,-1,None,106000,Poison,10013,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000009
1001100,Blood Dagger,1100,71,0,0,0,0,30,33,61,0,0,30,35,20,20,20,20,15,10,130,105000,Blood,-1,None,10013,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000010
1001200,Occult Dagger,1200,71,0,0,0,0,30,14,26,0,0,85,35,20,20,20,20,15,10,130,-1,None,-1,None,10013,Yes,25,5,9,0,0,0,Dagger,Slash/Pierce,,1.5,130,Yes,3,1,10,1000012
1010000,Black Knife,2200,66,0,0,0,65,28,10,55,0,35,0,26,15,15,15,42,15,10,160,-1,None,-1,None,10000,No,10,8,12,0,18,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1015000
1020000,Parrying Dagger,0,75,0,0,0,0,30,16,76,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001000
1020100,Heavy Parrying Dagger,100,72,0,0,0,0,30,55,0,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001001
1020200,Keen Parrying Dagger,5000,72,0,0,0,0,30,9,74,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001002
1020300,Quality Parrying Dagger,300,72,0,0,0,0,30,64,64,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001003
1020400,Fire Parrying Dagger,400,72,0,72,0,0,30,46,9,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10005,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001005
1020500,Flame Art Parrying Dagger,500,72,0,72,0,0,30,4,22,0,50,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001006
1020600,Lightning Parrying Dagger,600,72,0,0,72,0,30,9,46,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001007
1020700,Sacred Parrying Dagger,700,72,0,0,0,72,30,4,22,0,50,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001008
1020800,Magic Parrying Dagger,800,72,72,0,0,0,30,4,22,55,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001004
1020900,Cold Parrying Dagger,900,72,61,0,0,0,30,14,68,41,0,0,35,20,20,20,20,15,10,130,-1,None,107500,Frost,10000,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001011
1021000,Poison Parrying Dagger,1000,72,0,0,0,0,30,15,72,0,0,30,35,20,20,20,20,15,10,130,-1,None,106000,Poison,10013,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001009
1021100,Blood Parrying Dagger,1100,72,0,0,0,0,30,15,72,0,0,30,35,20,20,20,20,15,10,130,105000,Blood,-1,None,10013,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001010
1021200,Occult Parrying Dagger,1200,72,0,0,0,0,30,6,30,0,0,78,35,20,20,20,20,15,10,130,-1,None,-1,None,10013,Yes,25,5,14,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1001012
1030000,Misericorde,0,92,0,0,0,0,28,15,50,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002000
1030100,Heavy Misericorde,100,88,0,0,0,0,28,38,0,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002001
1030200,Keen Misericorde,5000,88,0,0,0,0,28,13,48,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002002
1030300,Quality Misericorde,300,88,0,0,0,0,28,45,45,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002003
1030400,Fire Misericorde,400,88,0,88,0,0,28,29,6,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10005,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002005
1030500,Flame Art Misericorde,500,88,0,88,0,0,28,4,15,0,26,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002006
1030600,Lightning Misericorde,600,88,0,0,88,0,28,6,29,0,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002007
1030700,Sacred Misericorde,700,88,0,0,0,88,28,4,15,0,26,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002008
1030800,Magic Misericorde,800,88,88,0,0,0,28,4,15,29,0,0,36,21,21,21,21,15,10,160,-1,None,-1,None,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002004
1030900,Cold Misericorde,900,88,75,0,0,0,28,13,45,22,0,0,36,21,21,21,21,15,10,160,-1,None,107500,Frost,10000,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002011
1031000,Poison Misericorde,1000,88,0,0,0,0,28,14,47,0,0,30,36,21,21,21,21,15,10,160,-1,None,106000,Poison,10013,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002009
1031100,Blood Misericorde,1100,88,0,0,0,0,28,14,47,0,0,30,36,21,21,21,21,15,10,160,105000,Blood,-1,None,10013,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002010
1031200,Occult Misericorde,1200,88,0,0,0,0,28,6,20,0,0,58,36,21,21,21,21,15,10,160,-1,None,-1,None,10013,Yes,25,7,12,0,0,0,Dagger,Slash/Pierce,,2,140,Yes,3,1,10,1002012
1040000,Reduvia,2200,79,0,0,0,0,31,10,40,0,0,55,38,22,22,22,22,16,11,180,6410,Blood,-1,None,10013,No,10,5,13,0,0,13,Dagger,Slash/Pierce,,2.5,110,Yes,3,1,10,1013000
1050000,Crystal Knife,0,82,53,0,0,0,31,40,25,50,0,0,32,31,18,18,18,15,10,130,-1,None,-1,None,10000,No,25,8,12,9,0,0,Dagger,Slash/Pierce,,2,100,Yes,3,1,10,1009000
